Station,Address,City,State,Longitude,Latitude
Groton New London Airport,155 Tower Ave,Groton,CT,-72.044683,41.332527
TEN TEN WASH,1010 Washington Blvd,Stamford,CT,-73.5431681,41.0535888
RSI EAST,1115 West St,Southington,CT,-72.8973437,41.618456
University of Connecticut - School of Law,55 Elizabeth St,Hartford,CT,-72.70705,41.772484
CROWLEY VW,245 New Britain Ave,Plainville,CT,-72.8411522,41.6771741
Homewood Suites,99 Marsh Hill Rd,Orange,CT,-72.998271,41.252117
Asnuntuck Community College,170 Elm St,Enfield,CT,-72.5697849,42.0000268
Fairfield NB - Tesla Supercharger,165 Round Hill Road,Fairfield,CT,-73.257123,41.146214
Connecticut Department of Energy and Environmental Protection - Marine Headquarters,333 Ferry Rd,Old Lyme,CT,-72.345572,41.312148
Precision Motors of Mystic,2400 Gold Star Hwy,Mystic,CT,-71.988657,41.390465
Wesleyan University,161 Cross St,Middletown,CT,-72.662214,41.550883
BMW BRIDGEPORT,43 North Ave,Bridgeport,CT,-73.1897466,41.2020685
Connecticut State Capitol,210 Capitol Ave,Hartford,CT,-72.682868,41.764759
Executive Nissan,900 Universal Dr N,North Haven,CT,-72.870997,41.360892
Propark Harbor Point Gateway Garage - Tesla Destination,406-424 Washington Blvd,Stamford,CT,-73.543258,41.045384
Wallingford Shopping Center,930 N Colony Rd,Wallingford,CT,-72.807124,41.483774
Fairfield Parks and Recreation Center,75 Mill Plain Rd,Fairfield,CT,-73.263962,41.142152
The Westport Library,20 Jesup Road,Westport,CT,-73.3613829,41.1396711
Homestead Inn - Thomas Henkelmann - Tesla Destination,420 Field Point Rd,Greenwich,CT,-73.634045,41.015276
MORSCHES FF,95 Reef Rd,Fairfield,CT,-73.2564712,41.1399023
Panera Bread,1129 Silas Deane Hwy,Wethersfield,CT,-72.656507,41.691611
Hoffman Toyota,36 Albany Turnpike,West Simsbury,CT,-72.867973,41.818345
Ferguson Library - Harry Bennett Branch,115 Vine Rd,Stamford,CT,-73.544039,41.099044
City of Hartford - Department of Public Works,50 Jennings Rd,Hartford,CT,-72.652406,41.785974
Hammonasset Beach State Park - North,1288 Boston Post Rd,Madison,CT,-72.561988,41.26449
Metro Center Garage,1 Station Place,Stamford,CT,-73.5419874,41.0457112
Middletown Nissan,1153 Newfield St,Middletown,CT,-72.676141,41.59054
Wesleyan University,Lawn Ave & High St,Middletown,CT,-72.65395,41.553597
Newington Town Center - Municipal Parking Lot,83 Market Square,Newington,CT,-72.721392,41.696446
Ridgeway Shopping Center - Tesla Supercharger,2233 Summer Street,Stamford,CT,-73.546435,41.068704
Connecticut Post Mall - NW Entrance,1201 Boston Post Rd,Milford,CT,-73.036899,41.23608
Girard Nissan,425 Gold Star Hwy,Groton,CT,-72.054118,41.370989
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,CT,-73.010522,41.246242
